vorhersagezeitpunkt;station_name;ts;value_q;dimension
09.01.2026 10:00;Eberfingen;10.01.2026 03:00;11.467;cbm/s
09.01.2026 10:00;Oberlauchringen;10.01.2026 03:00;12.481;cbm/s
09.01.2026 10:00;Illmuehle;10.01.2026 03:00;5.1025;cbm/s
09.01.2026 10:00;Hangkanal-offenesGerinne;10.01.2026 03:00;0.47433;cbm/s
09.01.2026 10:00;Buggenrieder Muehle;10.01.2026 03:00;0.30539;cbm/s
09.01.2026 10:00;Wutachmuendung;10.01.2026 03:00;29.168;cbm/s
09.01.2026 10:00;St-Blasien;10.01.2026 03:00;4.8522;cbm/s
09.01.2026 10:00;Wehra (Pegel);10.01.2026 03:00;2.2126;cbm/s
09.01.2026 10:00;Sammelknoten Biber-Durach;10.01.2026 03:00;3.7358;cbm/s
09.01.2026 10:00;Sammelknoten Volken-Rafzenbach;10.01.2026 03:00;1.2793;cbm/s
09.01.2026 10:00;Sammelknoten Wutach;10.01.2026 03:00;30.226;cbm/s
09.01.2026 10:00;Sammelknoten Hauensteiner Alb;10.01.2026 03:00;4.9208;cbm/s
09.01.2026 10:00;Sammelknoten Hauensteiner Murg;10.01.2026 03:00;1.2375;cbm/s
09.01.2026 10:00;Sammelknoten Wehra;10.01.2026 03:00;12.234;cbm/s
09.01.2026 10:00;Sammelknoten Duerren-Warmbach;10.01.2026 03:00;1.4858;cbm/s
09.01.2026 10:00;Ewattingen;10.01.2026 04:00;7.6011;cbm/s
09.01.2026 10:00;Eberfingen;10.01.2026 04:00;11.495;cbm/s
09.01.2026 10:00;Oberlauchringen;10.01.2026 04:00;12.537;cbm/s
09.01.2026 10:00;Illmuehle;10.01.2026 04:00;5.0107;cbm/s
09.01.2026 10:00;Hangkanal-offenesGerinne;10.01.2026 04:00;0.46587;cbm/s
09.01.2026 10:00;Buggenrieder Muehle;10.01.2026 04:00;0.30491;cbm/s
09.01.2026 10:00;Wutachmuendung;10.01.2026 04:00;29.035;cbm/s
09.01.2026 10:00;St-Blasien;10.01.2026 04:00;4.8029;cbm/s
09.01.2026 10:00;Wehra (Pegel);10.01.2026 04:00;2.1831;cbm/s
09.01.2026 10:00;Sammelknoten Biber-Durach;10.01.2026 04:00;3.6883;cbm/s
09.01.2026 10:00;Sammelknoten Volken-Rafzenbach;10.01.2026 04:00;1.2959;cbm/s
09.01.2026 10:00;Sammelknoten Wutach;10.01.2026 04:00;30.117;cbm/s
09.01.2026 10:00;Sammelknoten Hauensteiner Alb;10.01.2026 04:00;4.9698;cbm/s
09.01.2026 10:00;Sammelknoten Hauensteiner Murg;10.01.2026 04:00;1.2357;cbm/s
09.01.2026 10:00;Sammelknoten Wehra;10.01.2026 04:00;12.21;cbm/s
09.01.2026 10:00;Sammelknoten Duerren-Warmbach;10.01.2026 04:00;1.4898;cbm/s
09.01.2026 10:00;Ewattingen;10.01.2026 05:00;7.5483;cbm/s
09.01.2026 10:00;Eberfingen;10.01.2026 05:00;11.494;cbm/s
09.01.2026 10:00;Oberlauchringen;10.01.2026 05:00;12.571;cbm/s
09.01.2026 10:00;Illmuehle;10.01.2026 05:00;4.9183;cbm/s
